N_Clients,N_Inputs,Client_Time,Client_Sent,Server_Time,Server_Sent,Total_Sent
1,62006,0.126953,47.6206,0.153826,6.4e-05,47.620664000000005
1,274442,0.515868,210.771,0.60506,6.4e-05,210.771064
1,817872,1.70327,628.126,1.94633,6.4e-05,628.1260639999999
4,62006,0.21772799999999998,47.6206,0.171045,0.000256,190.48265600000002
4,274442,1.0616750000000001,210.771,0.761543,0.000256,843.084256
4,817872,3.165085,628.126,2.20001,0.000256,2512.5042559999997
10,100000,0.979232,76.8,0.647414,0.00064,768.00064
10,300000,3.094035,230.4,1.94085,0.00064,2304.00064
10,500000,5.325585,384.0,3.2647,0.00064,3840.00064
20,100000,2.176875,76.8,1.2515,0.00128,1536.00128
20,300000,7.4840800000000005,230.4,3.82994,0.00128,4608.00128
20,500000,13.454249999999998,384.0,6.35236,0.00128,7680.00128
30,100000,3.5723000000000003,76.8,1.4568,0.00192,2304.00192
30,300000,11.4748,230.4,5.54694,0.00192,6912.00192
30,500000,22.04255,384.0,9.55434,0.00192,11520.00192
40,100000,5.252549999999999,76.8,2.58089,0.00256,3072.00256
40,300000,17.936799999999998,230.4,7.43154,0.00256,9216.00256
40,500000,32.1491,384.0,13.125,0.00256,15360.00256
50,100000,6.805185,76.8,3.18963,0.0032,3840.0032
50,300000,28.29915,230.4,10.2798,0.0032,11520.0032
50,500000,60.005700000000004,384.0,30.8229,0.0032,19200.0032
