N_Clients,N_Inputs,Client_Time,Client_Sent,Server_B2A,Server_L2,Server_A2S,Server_Veri,Server_Time,Server_Sent,Total_Sent
10,100000,0.652460217,52.2646484375,0.668455424,0.10140573,0.011722534,3.5046e-05,1.4233573,320.43589782714844,843.0823822021484
10,300000,1.895495424,156.787353515625,2.325494386,0.161284357,0.03507461,3.6172e-05,4.448112539,961.3050384521484,2529.1785736083984
10,500000,3.087716616,261.31005859375,3.465305594,0.25204337,0.07397247,3.6556e-05,7.526802098,1602.1741790771484,4215.274765014648
20,100000,1.127014143,52.2646484375,0.97926898,0.104005354,0.030280465,4.0162e-05,2.229539012,640.8717651367188,1686.1647338867188
20,300000,3.369008805,156.787353515625,3.091653555,0.494974938,0.084001447,4.781e-05,6.973804043,1922.6100463867188,5058.357116699219
20,500000,5.637514885,261.31005859375,5.621552208,0.551928979,0.135621263,4.1518e-05,12.007210026,3204.3483276367188,8430.549499511719
30,100000,1.59582212,52.2646484375,1.291401133,0.155455747,0.045402018,4.7093e-05,3.096847614,961.3076324462891,2529.247085571289
30,300000,4.819644673,156.787353515625,4.149027654,0.482018687,0.117927064,4.9937e-05,9.595995193,2883.915054321289,7587.535659790039
30,500000,8.007069435,261.31005859375,7.069098761,0.752621427,0.195832793,4.6537e-05,16.03904962,4806.522476196289,12645.824234008789
40,100000,2.099356454,52.2646484375,1.621769408,0.204680652,0.067297163,7.0721e-05,3.992429351,1281.7434997558594,3372.3294372558594
40,300000,6.242590108,156.787353515625,5.211823813,0.577173145,0.14384731,5.575e-05,12.226088275,3845.2200622558594,10116.71420288086
40,500000,10.518484497,261.31005859375,8.67028414,1.093504173,0.270624753,5.9683e-05,20.87776749,6408.696624755859,16861.09896850586
50,100000,2.579383662,52.2646484375,2.054856752,0.260475055,0.070442628,5.9843e-05,4.949445561,1602.1793670654297,4215.41178894043
50,300000,7.734412359,156.787353515625,6.181379955,0.791039341,0.197801869,6.1436e-05,15.001987466,4806.52507019043,12645.89274597168
50,500000,13.031141254,261.31005859375,11.67951245,1.250497165,0.336913287,6.304e-05,25.986339684,8010.87077331543,21076.37370300293
