N_Clients,N_Inputs,Total_Time,Total_Sent,B2A_Time,B2A_Sent,L2_Time,L2_Sent,Cos_Time,Cos_Sent,DBSCAN_Time,DBSCAN_Sent,Bound_Time,Bound_Sent,Clip_Time,Clip_Sent,Aggr_Time,Aggr_Sent,B2A_Noise_Time,B2A_Noise_Sent,Noise_Time,Noise_Sent,Veri_Time,Veri_Sent
4,62006,2.28611,50.8931,0.431721,1.00224,0.0479133,3.96849,0.215738,31.7607,0.0151847,0.002312,0.092297,0.212906,0.045142,7.94334,0.0128311,0.0,1.36282,3.02628,0.0607822,2.97675,0.000359097,7.6e-05
4,274442,13.4707,224.22,2.88532,4.3967,0.2174,17.5644,0.805766,140.529,0.01384,0.002312,0.0923183,0.212906,0.245592,35.1351,0.0637744,0.0,8.83235,13.2063,0.303318,13.1737,0.000716788,7.6e-05
4,817872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,100000,6.08185,384.061,1.70339,4.03866,0.178541,16.0001,1.47573,320.076,0.0162827,0.009387,0.159241,2.25757,0.17155,32.0135,0.0630309,0.0,2.20764,4.86497,0.103184,4.80046,0.00038124,7.6e-05
10,300000,18.5758,1147.45,5.11221,12.1203,0.558161,48.0001,5.0742,960.08,0.0168392,0.009387,0.161112,2.25757,0.572416,96.0135,0.205656,0.0,6.51308,14.5706,0.342479,14.4005,0.000382743,7.6e-05
10,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,100000,13.2591,1399.87,3.38232,8.07706,0.359176,32.0001,6.55669,1280.3,0.0216575,0.03358,0.202984,5.77016,0.337866,64.025,0.108524,0.0,2.19569,4.86497,0.107645,4.80046,0.000449288,7.6e-05
20,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,100000,24.4739,3052.4,5.11936,12.1203,0.55189,48.0001,15.6197,2880.67,0.0260848,0.073311,0.202119,5.83137,0.503597,96.0343,0.145154,0.0,2.18846,4.86497,0.112466,4.80046,0.000444428,7.6e-05
30,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,100000,37.8765,5353.33,6.76785,16.1539,0.714832,64.0001,26.9224,5121.19,0.0428939,0.128554,0.269538,14.1501,0.671808,128.042,0.179722,0.0,2.18117,4.86497,0.111567,4.80046,0.000492455,7.6e-05
40,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,100000,54.3354,8286.18,8.44148,20.1923,0.948783,80.0001,41.2409,8001.86,0.0598683,0.199337,0.276842,14.2113,0.873291,160.05,0.204422,0.0,2.1879,4.86497,0.108705,4.80046,0.00040088,7.6e-05
50,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
